NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Trimestre Móvel (Código),Trimestre Móvel,Variável (Código),Variável
1,Brasil,2,%,6.8,1,Brasil,202502,dez-jan-fev 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.3,1,Brasil,202502,dez-jan-fev 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,0.7,1,Brasil,202502,dez-jan-fev 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202502,dez-jan-fev 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-1.1,1,Brasil,202502,dez-jan-fev 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202502,dez-jan-fev 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.0,1,Brasil,202503,jan-fev-mar 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.3,1,Brasil,202503,jan-fev-mar 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,0.8,1,Brasil,202503,jan-fev-mar 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202503,jan-fev-mar 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.9,1,Brasil,202503,jan-fev-mar 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202503,jan-fev-mar 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.6,1,Brasil,202504,fev-mar-abr 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.2,1,Brasil,202504,fev-mar-abr 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,0.0,1,Brasil,202504,fev-mar-abr 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,A,1,Brasil,202504,fev-mar-abr 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.9,1,Brasil,202504,fev-mar-abr 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202504,fev-mar-abr 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.2,1,Brasil,202505,mar-abr-mai 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.3,1,Brasil,202505,mar-abr-mai 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.6,1,Brasil,202505,mar-abr-mai 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202505,mar-abr-mai 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-1.0,1,Brasil,202505,mar-abr-mai 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202505,mar-abr-mai 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,5.8,1,Brasil,202506,abr-mai-jun 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.5,1,Brasil,202506,abr-mai-jun 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-1.2,1,Brasil,202506,abr-mai-jun 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202506,abr-mai-jun 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-1.1,1,Brasil,202506,abr-mai-jun 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202506,abr-mai-jun 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,5.6,1,Brasil,202507,mai-jun-jul 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.3,1,Brasil,202507,mai-jun-jul 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.9,1,Brasil,202507,mai-jun-jul 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202507,mai-jun-jul 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-1.1,1,Brasil,202507,mai-jun-jul 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202507,mai-jun-jul 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,5.6,1,Brasil,202508,jun-jul-ago 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.5,1,Brasil,202508,jun-jul-ago 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.6,1,Brasil,202508,jun-jul-ago 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202508,jun-jul-ago 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-1.0,1,Brasil,202508,jun-jul-ago 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202508,jun-jul-ago 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,5.6,1,Brasil,202509,jul-ago-set 2025,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,1.5,1,Brasil,202509,jul-ago-set 2025,4103,"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.2,1,Brasil,202509,jul-ago-set 2025,8811,"Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202509,jul-ago-set 2025,8814,"Situação da Variação em relação a três trimestres móveis anteriores - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1722,Ponto percentual,-0.8,1,Brasil,202509,jul-ago-set 2025,8816,"Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,1694,Nenhuma,Z,1,Brasil,202509,jul-ago-set 2025,8819,"Situação da Variação em relação ao mesmo trimestre móvel do ano anterior - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
